NO,kumei,lat,lon
1,足立区,35.778047,139.797225
2,荒川区,35.732695,139.769996
3,板橋区,35.776731,139.694887
4,江戸川区,35.7066,139.8684
5,大田区,35.56,139.7394
6,葛飾区,35.75618,139.877998
7,北区,35.739715,139.747859
8,江東区,35.6728,139.8174
9,品川区,35.6092,139.7301
10,渋谷区,35.658,139.7016
11,新宿区,35.6938,139.7035
12,杉並区,35.6995,139.6364
13,墨田区,35.695867,139.809111
14,世田谷区,35.6465,139.6532
15,台東区,35.711767,139.793658
16,中央区,35.6803,139.7716
17,千代田区,35.685144,139.75541
18,豊島区,35.7348,139.7077
19,中野区,35.7073,139.6638
20,練馬区,35.7356,139.6516
21,文京区,35.7259,139.743
22,港区,35.658,139.7515
23,目黒区,35.6292,139.7077
