kumei,count,lat,lon,件数（相対値）
渋谷区,3975,35.658,139.7016,1.0
港区,2897,35.658,139.7515,0.7152667723190702
新宿区,2505,35.6938,139.7035,0.6117274167987322
千代田区,2485,35.685144,139.75541,0.6064447966191231
中央区,2288,35.6803,139.7716,0.5544109878499736
世田谷区,1371,35.6465,139.6532,0.312202852614897
豊島区,1298,35.7348,139.7077,0.29292128895932384
台東区,1102,35.711767,139.793658,0.2411516111991548
江東区,941,35.6728,139.8174,0.19862651875330165
大田区,921,35.56,139.7394,0.19334389857369255
品川区,823,35.6092,139.7301,0.16745905969360803
目黒区,756,35.6292,139.7077,0.14976228209191758
墨田区,702,35.695867,139.809111,0.13549920760697307
杉並区,673,35.6995,139.6364,0.1278394083465399
足立区,593,35.778047,139.797225,0.10670892762810354
練馬区,523,35.7356,139.6516,0.08821975699947174
江戸川区,498,35.7066,139.8684,0.08161648177496038
板橋区,488,35.776731,139.694887,0.07897517168515583
中野区,428,35.7073,139.6638,0.06312731114632858
葛飾区,394,35.75618,139.877998,0.05414685684099313
北区,391,35.739715,139.747859,0.05335446381405177
文京区,315,35.7259,139.743,0.03328050713153724
荒川区,189,35.732695,139.769996,0.001
